participant_ID,question_number,vis_type,correct_answer,time_(s)
1,1,heatmap,1,29.6
1,2,scatterplot,1,18.13
1,3,heatmap,1,38.22
1,4,scatterplot,1,16.75
1,5,heatmap,1,10.94
1,6,scatterplot,1,12.61
1,7,heatmap,1,12.06
1,8,scatterplot,1,21.56
1,9,heatmap,1,11.79
1,10,scatterplot,1,33.76
1,11,heatmap,1,10.86
1,12,scatterplot,1,8.02
1,13,heatmap,1,8.9
1,14,scatterplot,0,124.79
1,15,heatmap,1,24.41
1,16,scatterplot,0,19.86
1,17,heatmap,1,8.15
1,18,scatterplot,1,9.35
1,19,heatmap,1,11.47
1,20,scatterplot,1,10.8
